frame,track_id,x_center,y_center,width,height
95,0.123988,0.303967,0.0203185,0.0933557,8.0
354,0.124022,0.462807,0.0305904,0.147842,43.0
342,0.124749,0.633648,0.0348962,0.174153,44.0
261,0.125394,0.344332,0.0277946,0.108869,14.0
151,0.125432,0.22483,0.0266351,0.0795939,27.0
353,0.125499,0.458093,0.0304494,0.14574,43.0
100,0.125735,0.723321,0.0405133,0.162261,15.0
238,0.12589,0.307394,0.0261583,0.100637,14.0
262,0.126089,0.343501,0.0333715,0.108513,14.0
237,0.126427,0.305324,0.0313671,0.100597,14.0
203,0.126441,0.348748,0.0254009,0.102972,19.0
116,0.126678,0.422711,0.020423,0.118043,9.0
236,0.126969,0.301896,0.0392866,0.100896,14.0
352,0.127031,0.45692,0.0308306,0.143025,43.0
327,0.127125,0.53905,0.0430643,0.143896,45.0
263,0.127215,0.343191,0.0388319,0.107781,14.0
321,0.127534,0.540912,0.0473923,0.141967,45.0
60,0.127543,0.449101,0.0252441,0.119363,6.0
88,0.127691,0.604043,0.0330685,0.134863,10.0
264,0.12799,0.344629,0.0433163,0.106494,14.0
351,0.128027,0.45727,0.0307603,0.138096,43.0
160,0.128111,0.410293,0.0258997,0.117215,11.0
212,0.128185,0.446567,0.0493118,0.116282,20.0
296,0.128363,0.504908,0.0485649,0.124771,43.0
301,0.128621,0.617476,0.0313644,0.162127,44.0
199,0.128648,0.584926,0.0301044,0.132929,2.0
198,0.129166,0.395837,0.0307446,0.107422,5.0
235,0.129308,0.300296,0.0434599,0.101092,14.0
117,0.12971,0.210235,0.0241679,0.0792879,12.0
322,0.130167,0.541654,0.0461412,0.139909,45.0
265,0.130169,0.347297,0.0410269,0.104629,14.0
159,0.130362,0.409336,0.0246707,0.114442,11.0
157,0.130674,0.405267,0.0367055,0.117301,11.0
350,0.130751,0.451753,0.0312436,0.124465,43.0
1,0.130889,0.426746,0.0346008,0.111919,6.0
150,0.130972,0.222584,0.0221168,0.0748525,27.0
158,0.131192,0.406217,0.0285528,0.113352,11.0
326,0.131843,0.54099,0.0368306,0.140526,45.0
234,0.13193,0.298884,0.0394395,0.101828,14.0
208,0.132103,0.417795,0.0505994,0.104826,23.0
341,0.132599,0.631852,0.0406667,0.175315,44.0
349,0.132609,0.46167,0.0330651,0.150903,43.0
156,0.133299,0.404627,0.0387286,0.119332,11.0
87,0.133428,0.601857,0.0350999,0.130586,10.0
99,0.133535,0.722061,0.0399913,0.1567,15.0
59,0.133622,0.449103,0.0263278,0.118308,6.0
323,0.133634,0.539868,0.0366807,0.140054,45.0
336,0.134365,0.355492,0.0378511,0.124742,46.0
115,0.134821,0.422203,0.0216004,0.117186,9.0
149,0.134975,0.224002,0.0226033,0.0772439,27.0
94,0.135068,0.303569,0.0192968,0.0917311,8.0
99,0.13518,0.318928,0.0244503,0.107018,3.0
233,0.135394,0.299321,0.0352457,0.100151,14.0
325,0.135487,0.540514,0.0318098,0.142271,45.0
324,0.135799,0.540213,0.0317202,0.141786,45.0
348,0.135874,0.459273,0.0313393,0.145351,43.0
266,0.136439,0.347362,0.0282483,0.0977337,14.0
98,0.136577,0.72184,0.0436076,0.156819,15.0
297,0.136627,0.504973,0.0374404,0.131741,43.0
302,0.136632,0.616178,0.0355469,0.161497,44.0
155,0.136642,0.40614,0.0384938,0.119681,11.0
340,0.137227,0.6284,0.0408033,0.172034,44.0
202,0.138176,0.348528,0.0249814,0.0988162,19.0
197,0.1382,0.39359,0.0382412,0.106859,5.0
198,0.138748,0.581879,0.0263143,0.131261,2.0
86,0.138842,0.602081,0.0391424,0.135342,10.0
211,0.138877,0.446946,0.0506204,0.11581,20.0
347,0.139123,0.460949,0.0315059,0.154211,43.0
58,0.139264,0.448198,0.0262985,0.119364,6.0
